"calendar_id","day","阶段","故事线节点","栏目","主topic_id","备选topic_id","发布主题","内容形式","标题方向","画面方向","互动钩子","来源类型","发布前检查状态","生产状态","发布后记录指标","备注","内容包路径","生成时间"
"CAL-D01","D1","第一次被看见","蓝汐第一次出现","蓝汐日记","","","蓝汐第一次出现","首发封面图组","你好，我是蓝汐。今天第一次被看见。","纯白/浅蓝灰背景，蓝汐正面出现，干净留白","你第一次看到她，觉得她像什么？","故事线原生内容","初步通过","已生成草稿","曝光;阅读;点赞;收藏;评论;关注;主页访问","项目已有首发视觉资产，可从现有蓝汐图组中整理","ContentPipeline/generated/daily_packages/D1_CAL-D01_蓝汐第一次出现.md","2026-07-10 11:29:31"
"CAL-D02","D2","第一次被看见","说明蓝汐是谁","角色档案","","","蓝汐偷偷开心了一下","人设介绍图组","蓝汐好像偷偷开心了一下","托脸眯眼头像特写，嘴角微微上扬，双手托脸，浅蓝灰留白背景","如果这个表情有名字，你会叫它什么？","故事线原生内容","初步通过","已生成草稿","曝光;阅读;点赞;收藏;评论;关注;主页访问","使用蓝汐角色档案，不另造设定","ContentPipeline/generated/daily_packages/D2_CAL-D02_蓝汐偷偷开心了一下.md","2026-07-10 11:50:30"
"CAL-D03","D3","第一次被看见","建立视觉记忆点","视觉设定","","","蓝汐在雨窗边碰到一颗雨滴","角色细节拆解","蓝汐在雨窗边碰到一颗雨滴","雨窗、白纸、光脚坐在边缘的蓝汐，伸手轻轻触碰一颗雨滴","你最先看到的是她，还是那颗雨滴？","故事线原生内容","初步通过","已生成草稿","曝光;阅读;点赞;收藏;评论;关注;主页访问","重点强调身份锁定，避免后续生图跑偏","ContentPipeline/generated/daily_packages/D3_CAL-D03_蓝汐在雨窗边碰到一颗雨滴.md","2026-07-10 11:50:30"
"CAL-D04","D4","靠近蓝汐的小世界","蓝汐的第一句口头禅","一句软话","LX-T-007","","我在呢，声音可以很小","单图/短图组","我在呢，声音可以很小","蓝汐微微举手，旁边只有一小行字，背景浅蓝灰","今天希望蓝汐对你说哪句话？","候选池","初步通过","已生成草稿","曝光;阅读;点赞;收藏;评论;关注;主页访问","对应口头禅建立","ContentPipeline/generated/daily_packages/D4_CAL-D04_我在呢，声音可以很小.md","2026-07-10 15:01:52"
"CAL-D05","D5","靠近蓝汐的小世界","蓝汐的小世界入口","场景故事","LX-T-027","","她住在日常和画纸之间","场景图组","她住在日常和画纸之间","白纸、书页、桌面和一束浅蓝光，蓝汐安静站在边缘","你希望她的小世界里有什么？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","用于建立小世界入口","",""
"CAL-D06","D6","靠近蓝汐的小世界","蓝汐的慢热性格","蓝汐日记","LX-T-002","","蓝汐今天慢慢路过了一下","生活场景小图组","蓝汐今天慢慢路过了一下","蓝汐抱着纸从画面一角慢慢经过，动作小，表情发呆","你今天有什么事想慢一点？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","强化慢热性格","",""
"CAL-D07","D7","靠近蓝汐的小世界","第一周总结","蓝汐日记","LX-T-004","","蓝汐被看见的第一周","轻复盘图组","蓝汐被看见的第一周","前三到七天的小画面拼贴，蓝汐在中央整理小纸条","你是从哪一天开始认识她的？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","第一周轻复盘，不虚构数据","",""
"CAL-D08","D8","建立互动与共创","第一次名字互动","名字小画","LX-T-011","","把你的名字放在这里，我慢慢记","评论征集帖","把你的名字放在这里，我慢慢记","蓝汐抱着空白名牌，画面预留名字位置，不放真实隐私","留下名字或ID，不要留隐私信息","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","首次名字互动，注意隐私边界","",""
"CAL-D09","D9","建立互动与共创","第一批名字小回应","名字小画","LX-T-012","","给几个名字留了位置","to签预告/样张","给几个名字留了位置","几张空白签名纸或小卡，蓝汐在旁边整理，不大规模填字","想要to签的话，留下名字和一个小情绪","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","不承诺每个人都会被画","",""
"CAL-D10","D10","建立互动与共创","头像玩法启动","头像领取","LX-T-016","","蓝汐头像01：托脸发呆","头像样式展示","蓝汐头像01：托脸发呆","1:1方图，蓝汐托脸，白底或浅蓝灰背景，头部眼睛清晰","评论编号领取，想要下次什么姿势？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","第一条头像玩法","",""
"CAL-D11","D11","建立互动与共创","壁纸玩法启动","头像领取","LX-T-018","","给手机留一点安静","手机壁纸预览","给手机留一点安静","竖版壁纸预览，蓝汐小小站在下方，顶部大留白","想要浅蓝、白色还是夜晚版？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","壁纸也归入视觉素材测试","",""
"CAL-D12","D12","建立互动与共创","心情收集","一句软话","LX-T-008","","今天的心情可以很小声","情绪互动帖","今天的心情可以很小声","蓝汐拿着空白心情纸，周围有少量云和纸片","用一个词说说今天的心情","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","避免引导敏感隐私","",""
"CAL-D13","D13","建立互动与共创","把心情画成小图","一句软话","","","把心情画成小图","情绪图组","有些心情，不用解释也可以被放好。","3-5个低饱和小场景：雨天、床边、桌面、云","哪张像你今天？","待补候选","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","候选池尚未覆盖，后续可补","",""
"CAL-D14","D14","建立互动与共创","第二周靠近总结","蓝汐日记","","","这周，蓝汐开始认识大家","图组复盘","这周，蓝汐开始认识大家。","名字、头像、壁纸、心情收集的轻量总结","下周想让她做什么？","待补候选","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","总结类内容，不虚构反馈数据","",""
"CAL-D15","D15","建立互动与共创","第一次小型福利","名字小画","","","准备画几张专属小卡","粉丝福利预告","准备画几张专属小卡。","蓝汐抱着几张空白小卡","评论：名字 + 想被画成什么感觉。","待补候选","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","需要补福利规则和名额边界","",""
"CAL-D16","D16","形成栏目与连续追更","固定栏目1：蓝汐日记","蓝汐日记","LX-T-001","","蓝汐今天也给自己留了一个位置","日记式单图/图组","蓝汐今天也给自己留了一个位置","蓝汐坐在白纸边缘，旁边放一张空白小纸条，画面留白充足","你今天给自己留位置了吗？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","蓝汐日记固定栏目启动","",""
"CAL-D17","D17","形成栏目与连续追更","固定栏目2：一句软话","一句软话","LX-T-006","","不用马上变好，先坐一会儿","短句壁纸","不用马上变好，先坐一会儿","蓝汐坐在画面下方，大面积留白，短句后期排版","想把哪句话存下来？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","不能承诺治愈","",""
"CAL-D18","D18","形成栏目与连续追更","固定栏目3：名字小画","名字小画","LX-T-013","","今天随机记住三个名字","名字互动样张","今天随机记住三个名字","三张小纸条排开，蓝汐只画轮廓和轻道具，不泄露真实信息","留下名字，我随机画进小纸条","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","限制名额，降低承诺风险","",""
"CAL-D19","D19","形成栏目与连续追更","固定栏目4：头像领取","头像领取","LX-T-017","","挑一个安静的蓝汐陪你","头像合集","挑一个安静的蓝汐陪你","3-6个头像姿势：看书、抱纸、雨天、发呆，统一低饱和","评论编号投票，想要单人头像还是留白头像？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","头像合集测试收藏","",""
"CAL-D20","D20","形成栏目与连续追更","固定栏目5：蓝汐小表情","蓝汐小表情","LX-T-021","LX-T-022","蓝汐说：我在呢","表情包方向","蓝汐说：我在呢","九宫格表情包草案：我在呢、收到、点头、抱纸、发呆","你最需要哪个表情？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为点头表情","",""
"CAL-D21","D21","形成栏目与连续追更","第三周栏目确认","头像领取","LX-T-019","","以后想常常见到哪一种蓝汐？","投票帖","以后想常常见到哪一种蓝汐？","卡片展示5个头像方向，不使用复杂文案","投票选2个最想看的头像姿势","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","用于收集栏目偏好","",""
"CAL-D22","D22","形成栏目与连续追更","用户反馈回应","名字小画","LX-T-014","LX-T-023","我看到你的小留言了","评论回复图组","我看到你的小留言了","蓝汐看着留言纸，纸上只用抽象线条代替具体留言","把你想被回应的话留在这里","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为表情包回应","",""
"CAL-D23","D23","小世界扩容与复盘","小世界扩展：场景","场景故事","LX-T-003","LX-T-026;LX-T-028","蓝汐的小世界不只有白底","场景设定图组","蓝汐的小世界不只有白底","白纸、窗边、浅水倒影和远处灰蓝城市剪影，蓝汐站在中景","你想让她住在哪个场景？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为画纸之间或雨夜窗边","",""
"CAL-D24","D24","小世界扩容与复盘","小世界扩展：道具","蓝汐日记","LX-T-005","LX-T-024","蓝汐把小东西收好了","道具设定图组","蓝汐把小东西收好了","小书、铅笔、纸条、台灯等1-3个轻道具，蓝汐轻轻整理","给蓝汐加一个不会喧宾夺主的小物件","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为慢慢路过动作资产","",""
"CAL-D25","D25","小世界扩容与复盘","第一次轻剧情","场景故事","LX-T-029","","蓝汐捡到一张纸","3-4图小故事","蓝汐捡到一张纸","风吹来一张纸，蓝汐弯腰接住，纸上不写具体隐私","下一张纸上写什么？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","轻剧情入口","",""
"CAL-D26","D26","小世界扩容与复盘","第一轮头像/壁纸交付","名字小画","LX-T-015","LX-T-025","这些位置，先留给你们","福利交付帖","这些位置，先留给你们","展示3-6张已完成小卡样式，注意不出现隐私和未授权内容","下一批想要什么主题？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为小表情第一组交付","",""
"CAL-D27","D27","小世界扩容与复盘","蓝汐的边界说明","一句软话","LX-T-009","","蓝汐可以陪你，但不替你解决所有事","轻说明图组","蓝汐可以陪你，但不替你解决所有事","蓝汐拿着写有慢慢来的小纸，不出现大段文字","你希望她怎么陪你比较舒服？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","重要合规边界内容","",""
"CAL-D28","D28","小世界扩容与复盘","第四周总结","蓝汐日记","","","蓝汐认识大家快一个月了","月末前复盘","蓝汐认识大家快一个月了。","角色出现、互动、栏目、福利的拼贴总结","你是从哪条笔记来的？","待补候选","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","总结类内容，发布时只写真实数据","",""
"CAL-D29","D29","小世界扩容与复盘","下月预告","头像领取","LX-T-020","LX-T-010","下个月的蓝汐头像排队中","预告图组","下个月的蓝汐头像排队中","头像排期预告：雨天、看书、抱纸、晚安、名字卡","你最想先领取哪一组？","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","备选为一句软话预告","",""
"CAL-D30","D30","小世界扩容与复盘","30天收束与下一阶段入口","场景故事","LX-T-030","","谢谢你看见蓝汐","总结图组/置顶候选","谢谢你看见蓝汐","蓝汐站在画纸中间，周围是小纸条、头像草稿和留白","给蓝汐留一句30天后的话","候选池","待检查","待生成","曝光;阅读;点赞;收藏;评论;关注;主页访问","可作为置顶候选","",""
